iter	Passed	Remaining
779	900	253
780	900	252
781	901	251
782	902	250
783	903	248
784	905	248
785	906	246
786	907	245
787	908	244
788	909	243
789	910	242
790	911	240
791	914	240
792	915	238
793	916	237
794	917	236
795	918	235
796	918	234
797	919	232
798	922	232
799	924	231
800	925	229
801	926	228
802	927	227
803	928	226
804	929	225
805	932	224
806	935	223
807	937	222
808	937	221
809	939	220
810	940	219
811	941	218
812	942	216
813	943	215
814	944	214
815	944	213
816	945	211
817	946	210
818	947	209
819	948	208
820	949	206
821	949	205
822	950	204
823	951	203
824	951	201
825	952	200
826	954	199
827	955	198
828	955	197
829	956	195
830	957	194
831	958	193
832	958	192
833	959	190
834	960	189
835	966	189
836	967	188
837	968	187
838	969	185
839	969	184
840	970	183
841	970	182
842	973	181
843	974	180
844	974	178
845	975	177
846	976	176
847	977	175
848	977	173
849	978	172
850	979	171
851	979	170
852	981	169
853	982	168
854	983	166
855	984	165
856	985	164
857	985	163
858	986	161
859	987	160
860	987	159
861	988	158
862	989	157
863	991	156
864	993	155
865	994	153
866	994	152
867	995	151
868	996	150
869	996	148
870	997	147
871	998	146
872	998	145
873	1001	144
874	1001	143
875	1002	141
876	1003	140
877	1004	139
878	1005	138
879	1006	137
880	1006	136
881	1007	134
882	1008	133
883	1009	132
884	1011	131
885	1012	130
886	1012	129
887	1014	127
888	1014	126
889	1015	125
890	1016	124
891	1016	123
892	1019	122
893	1020	121
894	1021	119
895	1022	118
896	1023	117
897	1024	116
898	1024	115
899	1025	113
900	1026	112
901	1027	111
902	1028	110
903	1029	109
904	1030	108
905	1031	107
906	1032	105
907	1032	104
908	1035	103
909	1036	102
910	1037	101
911	1038	100
912	1039	99
913	1039	97
914	1040	96
915	1042	95
916	1043	94
917	1044	93
918	1045	92
919	1046	90
920	1047	89
921	1048	88
922	1049	87
923	1051	86
924	1052	85
925	1053	84
926	1054	83
927	1055	81
928	1056	80
929	1057	79
930	1059	78
931	1059	77
932	1061	76
933	1062	75
934	1062	73
935	1063	72
936	1064	71
937	1065	70
938	1066	69
939	1067	68
940	1068	67
941	1069	65
942	1070	64
943	1071	63
944	1072	62
945	1073	61
946	1074	60
947	1075	58
948	1076	57
949	1077	56
950	1078	55
951	1079	54
952	1080	53
953	1081	52
954	1082	51
955	1083	49
956	1084	48
957	1084	47
958	1085	46
959	1086	45
960	1087	44
961	1088	42
962	1089	41
963	1090	40
964	1091	39
965	1092	38
966	1093	37
967	1093	36
968	1094	35
969	1095	33
970	1096	32
971	1096	31
972	1098	30
973	1099	29
974	1100	28
975	1101	27
976	1102	25
977	1103	24
978	1103	23
979	1104	22
980	1105	21
981	1107	20
